Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
084680,KR7084680008,이월드,KOSPI,,1328,2,-77,-5.48,1410,1410,1321,139065,188439073,187893205725,141806193,STK
094820,KR7094820008,일진파워,KOSDAQ,우량기업부,12470,1,250,2.05,12200,12770,12010,259758,3222502040,187880714140,15078709,KSQ
138610,KR7138610001,나이벡,KOSDAQ,기술성장기업부,18820,2,-180,-0.95,18610,20750,18260,503278,9842999660,187798053940,9957479,KSQ
419530,KR7419530001,SAMG엔터,KOSDAQ,기술성장기업부,21700,2,-800,-3.56,22200,22950,21650,221309,4894402650,187711820500,8590930,KSQ
000540,KR7000540005,흥국화재,KOSPI,,2935,2,-75,-2.49,2985,3030,2890,111902,331087085,187588523400,64242645,STK
002390,KR7002390003,한독,KOSPI,,13610,2,-200,-1.45,13810,13810,13350,16275,219274880,187321684130,13763533,STK
029480,KR7029480001,광무,KOSDAQ,중견기업부,3945,2,-40,-1.0,4010,4250,3875,3781620,15561787615,187241653810,47887891,KSQ
011785,KR7011781002,금호석유우,KOSPI,,61900,2,-1700,-2.67,63600,63600,61100,7965,493645800,187153783400,3023486,STK
035810,KR7035810001,이지홀딩스,KOSDAQ,우량기업부,2870,2,-40,-1.37,2880,2905,2830,146942,420442275,186642845925,65145845,KSQ
014280,KR7014280002,금강공업,KOSPI,,6350,1,90,1.44,6300,6620,6120,815949,5200591520,186241416950,29329357,STK
317770,KR7317770006,엑스페릭스,KOSDAQ,벤처기업부,8780,2,-390,-4.25,9150,9170,8380,361808,3108808450,186203599400,21378140,KSQ
105840,KR7105840003,우진,KOSPI,,9150,2,-390,-4.09,9450,9460,9040,341861,3161714800,186164304240,20323614,STK
003555,KR7003551009,LG우,KOSPI,,61600,2,-600,-0.96,62200,62200,61400,3212,198132700,186131792000,3021620,STK
365270,KR7365270008,큐라클,KOSDAQ,기술성장기업부,13300,2,-1400,-9.52,14800,14810,13100,385133,5297614810,186077243060,13855342,KSQ
382800,KR7382800001,지앤비에스 에코,KOSDAQ,벤처기업부,24650,1,1000,4.23,24650,26000,23650,507339,12584175900,186049674400,7502003,KSQ
220260,KR7220260004,켐트로스,KOSDAQ,벤처기업부,6970,2,-300,-4.13,7210,7210,6880,214630,1509144970,185642565930,26558307,KSQ
357230,KR7357230002,에이치피오,KOSDAQ,중견기업부,9020,2,-440,-4.65,9440,9440,8960,88675,811060500,185576706560,20711686,KSQ
100130,KR7100130004,동국S&C,KOSDAQ,우량기업부,3245,2,-180,-5.26,3365,3430,3200,301582,980126005,185429035000,57143000,KSQ
065130,KR7065130007,탑엔지니어링,KOSDAQ,중견기업부,11580,4,2670,29.97,10410,11580,10400,6468427,72026963960,185005056060,15976257,KSQ
348150,KR7348150004,고바이오랩,KOSDAQ,기술성장기업부,9710,2,-270,-2.71,9900,10500,9620,68321,665935900,184947638400,18872208,KSQ
371950,KR7371950007,풍원정밀,KOSDAQ,기술성장기업부,8770,2,-400,-4.36,9100,9100,8700,46039,405065470,184735484640,21040488,KSQ
083420,KR7083420000,그린케미칼,KOSPI,,7690,2,-310,-3.88,7900,7900,7670,74206,573629520,184560000000,24000000,STK
060570,KR7060570009,드림어스컴퍼니,KOSDAQ,중견기업부,3240,2,-70,-2.11,3310,3335,3210,138502,451282095,184225904280,56859847,KSQ
038110,KR7038110003,에코플라스틱,KOSDAQ,우량기업부,5350,2,-500,-8.55,5800,5800,5340,1327245,7303096190,184172904300,34169370,KSQ
017370,KR7017370008,우신시스템,KOSPI,,10010,1,160,1.62,9900,10280,9250,831942,8316447420,184056242700,18314054,STK
315640,KR7315640003,딥노이드,KOSDAQ,기술성장기업부,19790,1,450,2.33,18570,20450,18450,763374,14962539360,184013396500,9317134,KSQ
100250,KR7100250000,진양홀딩스,KOSPI,,3290,2,-30,-0.9,3315,3315,3280,42727,140797975,183895510680,55895292,STK
389020,KR7389020009,자람테크놀로지,KOSDAQ,기술성장기업부,29600,2,-2200,-6.92,31250,31600,29500,35781,1077678500,183762694500,6197730,KSQ
067280,KR7067280008,멀티캠퍼스,KOSDAQ,우량기업부,31100,2,-1300,-4.01,31700,32400,30800,28144,878015250,183730149000,5926779,KSQ
078350,KR7078350006,한양디지텍,KOSDAQ,우량기업부,12130,2,-120,-0.98,12260,12380,11900,115575,1390436000,183085027820,15244382,KSQ
138690,KR7138690003,엘아이에스,KOSDAQ,관리종목(소속부없음),2750,0,0,0.0,0,0,0,0,0,182818515000,66479460,KSQ
121440,KR7121440002,골프존뉴딘홀딩스,KOSDAQ,우량기업부,4305,2,-95,-2.16,4400,4400,4265,125617,538886160,182699028770,42836818,KSQ
