Date,Open,High,Low,Close,Volume
2022-11-11,623000,629000,613000,624000,447112
2022-11-14,618000,628000,602000,604000,433612
2022-11-15,604000,610000,586000,596000,380071
2022-11-16,599000,603000,585000,600000,246738
2022-11-17,596000,606000,593000,597000,157723
2022-11-18,600000,613000,597000,598000,237076
2022-11-21,600000,600000,571000,573000,375953
2022-11-22,569000,578000,558000,571000,323986
2022-11-23,574000,576000,557000,561000,313170
2022-11-24,568000,574000,565000,568000,202426
2022-11-25,568000,577000,566000,571000,189536
2022-11-28,573000,584000,554000,562000,327688
2022-11-29,562000,568000,558000,567000,276910
2022-11-30,563000,587000,556000,587000,1549820
2022-12-01,589000,591000,579000,585000,360664
2022-12-02,585000,590000,578000,584000,239024
2022-12-05,582000,582000,562000,562000,370292
2022-12-06,555000,568000,553000,559000,249853
2022-12-07,558000,565000,553000,563000,209953
2022-12-08,564000,567000,525000,531000,928841
2022-12-09,533000,534000,507000,515000,621086
2022-12-12,506000,514000,501000,502000,410188
2022-12-13,506000,506000,489000,496500,409056
2022-12-14,492500,502000,488000,498500,321107
2022-12-15,499000,502000,483000,486000,324362
2022-12-16,476500,489500,476500,485500,312213
2022-12-19,482500,483000,473000,482000,333848
2022-12-20,478500,497500,477000,487500,328234
2022-12-21,489500,493000,475000,477000,244350
2022-12-22,479500,481000,466500,471500,340815
2022-12-23,464000,465500,455000,455500,287228
2022-12-26,454000,459500,454000,457500,149013
2022-12-27,457500,460000,449500,457000,231365
2022-12-28,450500,450500,432500,436500,446129
2022-12-29,435500,442500,432500,435500,265226
2023-01-02,442000,455000,441500,446000,250046
2023-01-03,446000,449500,435000,440500,218710
2023-01-04,433000,445000,421000,443000,291720
2023-01-05,447000,450000,433000,433500,291874
2023-01-06,429500,444000,423000,444000,294525
2023-01-09,449500,465000,448500,464000,395601
2023-01-10,473500,484000,467000,473500,608987
2023-01-11,474000,478500,469000,474500,254291
2023-01-12,481000,482000,472000,478000,287924
2023-01-13,479500,482000,475500,478000,181006
2023-01-16,478500,480500,475500,480500,138434
2023-01-17,478500,479000,454500,458000,390507
2023-01-18,464000,467000,454500,458000,282241
2023-01-19,458000,463000,448000,456000,271694
2023-01-20,456500,471500,450500,469500,266206
2023-01-25,470000,484000,470000,484000,366937
2023-01-26,485500,520000,476500,517000,686493
2023-01-27,525000,526000,504000,506000,459245
2023-01-30,498500,515000,490000,510000,1609558
